              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   37.61 3680 135.16   4  3 93  1.94 1.87 1.95
  491.25 1425 683.79   1  2 97  1.69 1.81 1.93
  503.43 6095 2996.66   1  2 96  1.72 1.81 1.92
  127.80 16973 2118.26   2  5 94  1.72 1.80 1.91
   20.92 24059 491.58   5  4 91  1.70 1.78 1.90
   20.73 20603 417.03   5  4 91  1.44 1.71 1.87
   20.76 16614 336.79   7  4 89  2.30 1.89 1.93
   20.59 12385 248.99  10  4 87  2.35 1.95 1.95
   20.81 10092 205.06  10  4 86  4.58 2.53 2.16
   20.55 11491 230.62   9  4 87  3.49 2.46 2.15
   20.40 11054 220.20   9  4 87  3.25 2.49 2.17
   20.61 10932 220.01  10  4 86  3.24 2.54 2.20
   20.72 14371 290.75   8  4 88  2.56 2.44 2.17
   20.53 12865 257.88   8  4 87  2.85 2.55 2.22
   20.76 12239 248.16  10  5 85  2.93 2.59 2.25
   20.75 11385 230.75   9  4 87  4.00 2.85 2.35
   20.65 17019 343.24   5  4 91  3.10 2.74 2.32
   20.82 15955 324.46   7  5 89  3.76 2.97 2.42
   20.97 12654 259.09   8  4 88  4.07 3.14 2.51
   21.01 10263 210.53  10  4 87  4.17 3.24 2.56
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   21.24 9574 198.55  10  4 86  3.51 3.16 2.55
   21.22 7899 163.70  11  4 85  4.70 3.51 2.71
   20.84 9397 191.24  11  5 84  4.64 3.63 2.78
   20.55 9422 189.09  10  4 87  3.44 3.44 2.74
   20.55 10112 202.98   9  4 87  3.03 3.34 2.72
   20.40 9287 185.01   9  4 87  2.37 3.14 2.67
   20.85 8575 174.61  11  4 84  1.72 2.91 2.60
   20.55 8021 160.99  10  4 86  1.68 2.78 2.57
   20.59 10945 220.03   9  4 87  1.71 2.69 2.54
   20.61 11412 229.75   8  4 88  1.92 2.64 2.52
   20.65 10686 215.48   9  4 87  2.60 2.73 2.56
   20.49 12162 243.38   8  4 88  2.05 2.58 2.51
   20.59 14814 297.83   7  4 89  2.40 2.63 2.53
   20.63 10693 215.44   9  4 86  2.67 2.69 2.55
   20.46 11869 237.14   9  4 87  2.26 2.59 2.52
   20.60 12693 255.38   8  4 88  1.82 2.45 2.47
   20.47 11515 230.23   8  4 88  2.82 2.62 2.53
   20.66 11348 228.94   8  4 87  2.75 2.61 2.53
   20.69 9568 193.35   9  4 87  2.49 2.56 2.51
   20.69 11535 233.10   8  4 88  2.04 2.44 2.47
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   20.56 10799 216.82   9  4 87  2.63 2.57 2.52
   20.52 11921 238.85   8  4 88  3.11 2.72 2.57
   20.69 9706 196.13   9  4 87  2.50 2.61 2.54
   20.52 12844 257.42   7  4 88  2.91 2.72 2.58
   19.85 17575 340.67  10  7 82  3.20 2.82 2.62
   20.03 17214 336.66  11  7 83  4.09 3.09 2.73
   29.25 13432 383.61   7  6 87  4.06 3.20 2.78
  214.62 4229 886.32   1  5 94  3.08 3.04 2.73
  444.33 4903 2127.67   0  3 96  2.20 2.83 2.67
   21.69  148  3.13   1  2 97  1.61 2.62 2.60
   13.17   42  0.54   1  1 98  1.34 2.46 2.54
   19.31  101  1.90   1  1 98  1.48 2.39 2.51
   27.27   12  0.32   1  1 98  1.63 2.33 2.48
   21.30 1167 24.27   5  4 90  1.55 2.26 2.45
   33.06 1580 51.00   4  5 90  2.16 2.34 2.47
   29.10   40  1.12   2  2 96  1.74 2.23 2.43
   14.08  104  1.43   2  3 94  1.69 2.17 2.40
   35.86  242  8.48   4  3 93  1.88 2.17 2.39
   16.35   29  0.46   1  1 98  1.57 2.07 2.35
   13.73   54  0.72   1  1 98  1.45 2.00 2.31
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   16.54    5  0.08   0  1 98  1.21 1.88 2.26
