Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7817508   124328    79782    55822        0   200215     7199 42173800  1333993 12282021 69018422   103967      160724     99208   162603    52523  1585022  2309096 35443665     2859        0        0 
 6022138   153548    81057    80994        0  1940392    16850    69882     1749   147533        7        6      165909    149690   160489    51715     1656        0  1732897        0        0        0 
   28142   482626    87554  5189798        0  2490693    12228    46232     1061   244632       21       73     5352452    407526   157252    50776     3194        0  5755801        0        0        0 
    4024  3647058     4391  3641427        0   837318    23772  2218300      782   139182 10059065    15141     7193568     99308   458912   195238   255409   565718  3743199       69        0       24 
    3606  3664101     2379  3661039        0   840274    10528  2372489      524    14921   682425      409     7206870    120649   416429   158766    42436        0   904199       32        0        0 
    3805  3678019     2487  3674724        0   836716     3317  1558322      391    12768   944990     7254     7214001    141229   390448   133997    25970        0   799859      106        0        0 
    3561  3681056     1651  3678382        0   837474     1424   833973      394    10273   942447     2286     7227348    133741   392513   127569    16741    18859   622878       25        0        0 
    3647  3687371     1753  3684651        0   834109     1431   555530      391     8894   869557        6     7229323    144452   383917   118621    10034     1432   486920       17        0        0 
    3983  3685886     1635  3683323        0   832416     1383   410530      403     9777  2864601      442     7236534    134310   393731   122833     7353    17178   396769       17        0        0 
    4054  3689466     1798  3686679        0   830053     1467   452998      387     8345  1404618        6     7239095    138848   389381   118128     9810     5487   438070       36        0        0 
    4126  3688506     1565  3686134        0   831929     1464   427673      387    13544  1645601      281     7238768    137437   388844   117131     9419     8933   416369       16        0        0 
    3877  3686503     1714  3683797        0   831903     1407   446965      255    11293  2716651       71     7242438    129576   396444   122621     7680    15362   436286       36        0        0 
    3512  3688972     1939  3685997        0   831912     1412   582639      388    10041  1397034      398     7240481    136427   389624   117115    13210     6441   570028       13        0        0 
    3813  3687352    12343  3673889        0   830720     1706   560011     2744    22931  1496597       73     7221653    151931   388479   121888    19673    18539   500608       28        0        0 
    3880  3677474     1575  3674779        0   860275    10977   519910     1068    79047  2219519       36     7170490    183338   366667   111783    27030     5354   460252      139        0        0 
