              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   50.63 2064 102.05   2  2 95  1.67 1.87 1.72
  401.07  724 283.72   2  2 96  1.49 1.80 1.70
   32.30  228  7.19   1  1 97  1.48 1.77 1.69
   23.43   22  0.50   1  2 97  1.75 1.81 1.71
  487.01 4638 2205.59   2  2 96  1.53 1.75 1.69
  502.69 5772 2833.51   1  2 97  1.34 1.67 1.66
   23.17 32092 726.11   4  6 90  1.19 1.61 1.64
   20.65 20794 419.29   7  4 89  2.21 1.80 1.71
   90.75 11707 1037.46   5  4 91  2.09 1.82 1.71
  438.26 5259 2250.58   1  3 96  1.66 1.74 1.69
  483.07 3852 1817.30   1  3 96  1.52 1.70 1.67
  494.04 3634 1753.28   1  2 97  1.23 1.60 1.64
  419.39 1585 649.28   1  2 97  1.30 1.59 1.63
  497.50 5534 2688.66   1  3 96  1.19 1.53 1.61
   36.52 27531 981.99   3  6 91  1.87 1.66 1.65
   20.85 25391 516.90   5  5 91  1.91 1.69 1.66
   20.94 20868 426.64   5  4 90  2.51 1.86 1.72
   20.73 15896 321.85   7  4 89  2.28 1.87 1.73
   20.91 12904 263.49   9  4 87  1.91 1.82 1.72
   20.43 12147 242.31   9  4 87  1.78 1.80 1.72
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   20.67 13644 275.46   8  4 88  2.10 1.88 1.75
   20.05 13753 269.22   9  5 86  2.34 1.95 1.78
   20.82 11386 231.55  11  5 84  2.12 1.94 1.78
   20.75 10862 220.12  10  4 86  2.71 2.09 1.84
   20.79 10755 218.40  10  4 86  3.14 2.28 1.91
   20.58 11283 226.77  10  5 85  2.89 2.30 1.93
   20.66 13242 267.15   8  5 87  2.47 2.25 1.93
   20.42 21155 421.83   5  6 89  3.09 2.43 2.00
   18.62 12181 221.53   3  5 92  2.93 2.47 2.03
   13.25   60  0.78   1  1 98  2.28 2.36 2.00
   14.46    2  0.03   1  1 98  1.77 2.23 1.97
