Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7807489    21065    19506   243016        0   209776    18726 68872785  2626837 26444643 76840349   287869       37878    245709    93696    29330  3504140  4124145 67772819     1839      836      904 
 7215330   153914    27400   712384        0   191753    24532   124574     4607   143537        1      368      592639    301059    93696    29330        0        0   551229        0        0        0 
 7201031   159888    32224   714847        0   192730    14295   308042    58294   107136        1      384      610888    296071    93690    29329        6        0    15792        0        0        0 
 7196493   161181    33018   715258        0   194391    18338    29107      838    57099        4        0      612816    296641    93682    29324        8        0     1476        0        0        0 
 2866306   187972    41708   250442        0  4954237    23652    64232     1173    97209        8        2       97469    382653    93651    29312       25        0  4235762        0        0        0 
    4131  1314954      427  1313417        0  5459883        3    38119      388   190522  4821738    21182     2573144     55654   550022   237024    10677   468170  5441327       16        0      504 
    3919  3633228     3331  3628315        0   848487       50  3643014      269    75568  5184957       22     7175858     89016   468301   212659   301418   220161  1397335       49        0        0 
    3896  3645592     2597  3641555        0   848917       65  1585816      397     9236   732728      262     7171065    118679   439353   186879    28888        0   806081       23        0        0 
    3555  2016169      519  2013621        0  4068970      124   586607      531     8896  2141880       35     3920696    109613   575338   226843    13223   149214  1988599       37        0        0 
    3616  1534258      378  1531943        0  4950761       13    27772      403    22543  5248796      407     3011859     54720   659035   308612   182606   268446  4319510       50        0        0 
    4847  1232937      510  1226255        0  5551904       19    91441      433    87849  4900178     5187     2388940     70762   532876   313038   395754   270737  3494902       27        0        0 
    3876  1229042      523  1226524        0  5376998        7    85293      411    50303  4952369      308     2425092     30997   757512   492969    91179   316999  3354969       22        0        0 
    3755  2601699     1378  2598470        0  2624501       11   121576      399    57433  5654824     5220     5162654     38893   759280   500234   248266   251090  1246998       15        0        0 
    3620  1529597      386  1527547        0  4754244        4    44183      267    21195  5204874     1854     3019375     38155   762622   514474   213092   217580  5164016       20        0        0 
    3952  3526255     5405  3518855        0   856986      242  2695826     2797    34630  5049659       51     6929389    121126   578343   418306   383082   198871  1892366       72        0        0 
    3541  3553586     4187  3548066        0   856972      266  2046006      405    13662   879803      262     6924207    181632   519144   363604    59104        0   994037       34        0        0 
    4012  3564918     3329  3559797        0   856173       40  1124595      421    12546  1007589      224     6937039    191005   500697   341614    30870    13478   819271       50        0        0 
    3801  3570446     2451  3566449        0   854109       21   745869      735    10355   736957      286     6932821    206525   488998   332944    27465    16663   617187       24        0        0 
    4046  3575097     2242  3571086        0   855943       29   533210      378     8243   894747        6     6935439    212986   481292   321359    15496     7795   506298       29        0        0 
    3330  3569654     2524  3565127        0   869526       24   486099      444    23236  1763460       25     6925059    212246   480066   319435    16051    14836   465511       32        0        0 
    3888  3570894     2642  3566068        0   869815       19   543199      392    10207  1828203      403     6927552    212052   479209   316451    13672    12820   528781       27        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4151  3569867     7533  3560862        0   870338      362 84363987  2703476 27504556  129317K   324791     6916815    221447   476162   317511  5557443  6570458  106130K     2404      836     1408 
    4090  3573590     2530  3568671        0   871402     9622   518942     1715    59787  1691896       30     6890850    253941   456814   309713    28289     9026   446678       93        0        0 
    4051  3573570     1922  3570088        0   872434     7369   440181      390    11271  1844674     1068     6899505    246075   454478   308157    12961    11000   422717       40        0        0 
    3787  3571614     2377  3567363        0   872052       53   433497      395    10261  1768243     5528     6915479    225875   465652   313190    11088    24175   419113       31        0        0 
    3569  3569769     2471  3565881        0   872232       67   458830      398    15380  1936032      301     6924148    213972   478233   316099    13769    26414   435237       25        0        0 
    3830  3569826     2596  3565685        0   872253       37   532439      400    13552  2203642       57     6925626    212481   479842   315565    15030    16661   512645       49        0        0 
    4014  3569038     9363  3557566        0   874271      285   851738     1013    15845  2464331      294     6913520    222447   472927   315248    32713    25943   809488       30        0        0 
    3954  3873566     4941  3866586        0   223846     4701   452735      913    35536  1177140       10     7444876    300217   510481   357475    18996    56634   417224       78        0        0 
   22713  3873796     2235  3877421        0   198343     9438    32153      535    33687     2546      386     7436700    316752   504314   355753     6428      307     1818       22        0        0 
   22337  3871862     2303  3879729        0   198291     9438    12952      452    45181        0      768     7436774    317120   503946   355564      363        0       51        0        0        0 
