Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7502559   169901    23539   154718        0   194926    29898  816208K 12886827  166512K 3731049K 12693519       39553    308605   551073   284260 41397735 51606846  646233K    30155        0        0 
 6806203   248394    31347   227217        0   732845    26653   197030     7204   174438        0      760       58697    448261   550763   284166      310        0   553596        0        0        0 
 5569087   778899    36331   741440        0   915546    38096  1063559     3304   266974        0      384     1062868    493802   549775   283985      987        0  1007062        0        0        0 
 4011396  1558009    36640  1523392        0   916556    25327  1575151     1334    34502        4        0     2619659    498382   549753   283973       20        0  1551850        0        0        0 
 2423687  2331500    66676  2299042        0   918316    20247  1560503     1811    36029        8      576     4188497    508721   549684   283941       64        0  1575910        0        0        0 
  962921  3079337    37722  3046604        0   919371    18375  1530102     1336    34978        0        0     5670258    493405   549625   283916       30        0  1474220        0        0        0 
    4063  3499996     3343  3496096        0   956330     9381  1372736     1640    31155   234759    10295     6804945    194490   756052   369423    29231   235945  1348801       35        0        0 
    3552  3580160     2389  3575260        0   803520    42654   565339     2298    69715   491927       52     6775039    382770   758034   364135    30064    32634   507748       11        0        0 
    3807  3587837     1377  3585172        0   788111    35023   404291     1648    18419   420309       22     6790569    383817   754360   363159     2588        0   381841       45        0        0 
    3838  3579912      625  3578311        0   803573    13698   344414     1360    17391   405944      767     6803641    355207   757028   362932     2176     4931   323011       13        0        0 
    3776  3579829      353  3578922        0   802673    11842   227507     1659    17882   309816      401     6809648    349456   762367   363514      490     5980   205835        4        0        0 
    4711  3570440      498  3569440        0   802459    13160   251319     1350    16788   175608       13     6941522    198856   911654   382249     1106   150395   232453       14        0        0 
    3819  3562493      286  3561134        0   801442    10160   181745     1620    20804   285981       22     6978280    145633   964864   400248    16413    70876   135147        4        0        0 
    3280  3257678    80911  3176693        0  1392472    25263   270297     2243   207921  1799756     1177     6380392    134890   918569   410477   238887   200309   356952       20        0        0 
