Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7565505   116105    18691    99513        0   184623     2568  421428K  4896938 46653904  531337K   589082       32420    201889   612419   345071 28101673 33196372  411933K    16663       76      188 
 6860032   203427    24854   179387        0   717370    11182   185568     5313   168828        0        0       49452    358216   612013   344948      406        0   552078        0        0        0 
 5639010   728891    29153   700459        0   887487    22612  1076037     4543   244609        0      256     1057499    401004   611690   344829      322        0  1006046        0        0        0 
 4080755  1506734    29192  1479673        0   888580    11348  1569764     1357    24514        0        0     2608414    407185   611669   344812       14        0  1550887        0        0        0 
 2521052  2278729    36127  2250597        0   891709    12719  1560127     1925    38820        4      194     4154833    410620   611652   344799       17        0  1552786        0        0        0 
 1035406  3026214    32084  2999569        0   892104    10863  1530378     1370    32423        0        0     5662179    395688   611633   344791       11        0  1499703        0        0        0 
    4000  3500884     3399  3496824        0   922057     3078  1368537     1704    21314   193442     2133     6837198    163909   772887   402318    14127   175509  1345322       55        0        0 
    4032  3568272      651  3566584        0   776946       22   548071     1400     8036   393727       13     6927878    207629   872279   412664     1208   101019   527439        5        0        0 
    3552  3568874     1087  3566456        0   776989        0   400235     1667     7466   479215       39     6926588    209829   870435   412348     1301        0   378334       16        0        0 
    3808  3569040      368  3567601        0   776955        0   314773     1374     6774   423285       13     6925566    211443   868788   412054     1280        0   294833        6        0        0 
    3846  3186907    16938  3254564        0  1420774        0   282467     1708   121733   810638       22     6310334    148075   837738   440396   127964    97030   232454        4        0        0 
    4022  3341455    91483  3249224        0  1211596        0   189334     1370    53139  1693470       16     6592047     90115   919137   431931    96812   179799   492104       13        0        0 
    4362  3341286    83538  3257232        0  1212202        0    56237     1600    19464  1312602       22     6585325     96731   912741   430772    60958    56857   460238       13        0        0 
    4094  3339872   110900  3228540        0  1210841        0   120469     1353    15086  1189999        7     6585231     94081   917096   435980   100943   105770   542410        2        0        0 
    5690  3334286   103361  3240009        0  1211440     8352    85025     2466    34630   936457       41     6565988    111668   907836   434875    85654    78425   471141        4        0        0 
    8059  3333110   105320  3232893        0  1210094     3232    37179     1329    17518   883207        9     6571080    100243   914553   440763    50718    57742   420859       15        0        0 
    3744  3342630   171264  3170967        0  1169427    10232    74691     1493    26026   906144       25     6603051     81810   943803   471688   124571   155734   641411        3        0        0 
    4557  3333254   138028  3200626        0  1207392     5112   106373     1482    17428   664484       15     6562407    109501   910899   445590   100764    68484   507132        2        0        0 
    3757  3330279   149862  3186224        0  1206707        0    59248     1467    16929   883923     4103     6569001     97364   918451   452683    67382    76828   715721        6        0        0 
    3744  3328444    61151  3267190        0  1204672        0    44291     1479    17111   883800       25     6557605     99180   920026   457433    62708    64612   683616       12        0        0 
    5850  3285223   131556  3153006        0  1301211        0    81752     1442    17949   664794       25     6460073    109688   908677   453467    54270    43712   881641       50        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3530  3464949    15178  3448935        0   927813      775  431729K  4936402 47575867  544545K   596066     6761873    167189   908976   461847 29120750 34526392  427647K    16884       76      188 
    4032  3475069     1955  3472286        0   807074       16  1978454     1352     7425   132719       13     6733461    215847   981543   569069    82309   155051   866807        2        0        0 
    3550  3440838     4265  3435601        0   807544       64  1060811     1640     7905   356665       17     6728756    151948  1046871   637382     6628    71972   585178        2        0        0 
    4000  3417347     2992  3413631        0   807683       21   896729     1466     7890   340186       17     6732281    101689  1097686   682975     3425    54298   500156       53        0        0 
    3552  3416948     3750  3412722        0   807666       13   842277     1634     7005   494499       31     6734355     99065  1099134   685191     3062     5873   563386       16        0        0 
    3559  3404570     3570  3400398        0   807723        5   585755     1330     7050   570459       19     6734787     73751  1123863   709942     2352    27087   449361       51        0        0 
    4064  3403747     3696  3399267        0   807707        5   515114     1622     7437   551137       15     6734054     72656  1125537   711278     2452     4158   418201       14        0        0 
    4148  3404906     4080  3399955        0   809554     7173   448782     1326    23126   517490       15     6718044     90897  1114696   707062    15167     4619   399109        4        0        0 
    3971  3404247     3722  3399770        0   809445     4099   326482      291     1803   901234       13     6721767     85972  1115522   707296      740     1758   323582        4        0        0 
    3756  3404567     4125  3399804        0   809437     2061   320426     1352     7110   414098      653     6724519     83977  1114664   707680     7645     6787   292344       15        0        0 
    3562  3404695     3661  3400328        0   809188     2056   237613     1598     6902   264208       15     6728347     80337  1118843   708578      906     5087   219676        6        0        0 
    3546  3405605     4435  3399934        0   809195       10   240093     1464     8061   373606     2065     6727759     82214  1115860   706541     5123     2346   216845       13        0        0 
    3339  3405843     3610  3401054        0   809199       10   238853     1483     6690   374925       15     6727779     82728  1114990   706217     1676      805   220848       52        0        0 
    3822  3406124     3587  3402038        0   809178       10   230892     1470     6602   253674       13     6724138     87611  1110389   704735     4707      105   208576       11        0        0 
    3552  3406538     3389  3402523        0   809182       18   219238     1474     6396   356798       15     6723495     88955  1109136   704153     1247        0   202415        2        0        0 
    3776  3406289     3205  3402361        0   809159        7   228394     1719     6545   405971       23     6724206     87649  1110167   704731      646     1676   211336       20        0        0 
    3700  3406414     3482  3402385        0   809147        7   250559     1480     6606   565480       14     6724087     88195  1109802   704219     1316      950   233776       14        0        0 
    4038  3406263     3879  3401757        0   809120        7   220853     1490     6499   630174       13     6725332     86567  1109937   704200      697      831   204439        3        0        0 
    4008  3404889     3797  3400375        0   809139        7   197783     1407     6675   672287       11     6730570     78491  1117906   707511     1136     9103   181909       13        0        0 
    3397  3405924     4289  3401021        0   807286     7148   204015     1549    22880   426723       28     6720375     90859  1114922   706984     7109     4277   184180       46        0        0 
    4003  3405660     4166  3400757        0   807264     4076   207861     1351     6919   485480       11     6723530     87052  1115756   707570     2001     2892   189967        3        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3561  3403496     4296  3398596        0   807280       11  441521K  4966493 47749888  554597K   599739     6735713     70675  1129370   712435 29273002 34901587  434642K    17234       76      188 
    4064  3403804     3813  3399463        0   807281       11   248008     1353     6848   432254       13     6732890     74190  1125830   711247     4280      758   227062       14        0        0 
    4008  3405138     4760  3399754        0   807312        2   265126     1709     7384   434529       28     6728709     80943  1117914   708294     7117     1225   235234        4        0        0 
    3560  3405480     3669  3400909        0   807315        2   198037     1355     6764   296725       16     6728492     81566  1117704   708266     1226     1016   181954       14        0        0 
    4085  3405568     3618  3401444        0   807316        0   269539     1609     6735   557600       19     6727936     82694  1116500   707693     1559      354   251130        2        0        0 
    3529  3406037     3471  3402155        0   807315        8   214960     1329     6516   479576       11     6728502     83161  1115579   707341     1307      388   198914        4        0        0 
    3522  3405535     2889  3402078        0   807320        8   219553     1615     6942   457007       23     6729025     81477  1116933   708113     2198     3550   199793       14        0        0 
    4064  3405275     3302  3401438        0   807315        0   260713     1353     6683   669653       20     6728542     81473  1117220   708094      941     1228   245120        5        0        0 
    3363  3405799     3487  3401848        0   810316    22519   203624     1453    36544   418598       11     6700091    111043  1107500   704464    10847     1237   183456       13        0        0 
    3809  3405737     3213  3402036        0   809162     9207   232368     1489     6568   412502       16     6714426     96560  1109546   705186      593     2638   216117        3        0        0 
    3433  3406052     4122  3401027        0   807326     7175   204343     1778    16796   427763       11     6715867     95334  1111049   706393     1544     3058   187247       13        0        0 
    3506  3405594     3586  3401589        0   807329     4103   211071     1491     6756   477246       20     6721037     89732  1113541   707859     1387     3960   193117        3        0        0 
    3420  3405533     3463  3401594        0   807333     2034   189025     1476     6911   338916      783     6725552     85039  1115209   707818     1000     2668   172131       62        0        0 
    4205  3405882     3236  3402154        0   807230     2028   208515     1469     6838   541845       13     6734235     77037  1123407   707293      786     8983   191657        5        0        0 
    4032  3406719     4668  3401662        0   807247     2030   227734     1919     7571   500987       17     6730460     82588  1118318   704858     7299     2208   201511       13        0        0 
    3809  3407041     3551  3403163        0   807351        0   198077     1492     6748   460058     2043     6732573     81182  1117898   704881     1261      874   180676        5        0        0 
    3808  3407490     3632  3403513        0   807319        0   190993     1462     6430   280020       11     6730071     84564  1114321   703908     4138      560   169573       12        0        0 
    3886  3408373     7143  3400479        0   807505       84   193530     1497     7547   572433       20     6723492     92503  1107017   702311     8348     1043   162212        3        0        0 
    3850  3408241     3913  3403449        0   807521      115   141958     1453     7198   347303       17     6721907     93696  1106621   702202     1960     1569   122937       20        0        0 
    3835  3409394     3153  3406084        0   807489      115   154210     1490     6629   304560       15     6719488     99143  1101274   699420     5672      326   127077       54        0        0 
    3551  3409651     3425  3406006        0   807488      115   201208     1478     6469   413514       24     6720353     98729  1100914   699284      952      591   183982        5        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4143  3409409     3763  3405240        0   807500      117  445928K  4998236 47933900  563902K   602879     6720107     98305  1101385   699416 29338346 34941220  438630K    17517       76      188 
    3750  3410545     3573  3406712        0   809329    10341   167155     1474    22906   612088       17     6704746    116084  1093241   695880     8607      579   149031        2        0        0 
    3911  3409041     3352  3404816        0   809364     5114   275202     1086     6875   652205       11     6712816    104393  1100101   699414     1674     8657   260147        4        0        0 
    3897  3407156     3318  3403257        0   809313     1888   256968      535     2244   674445      654     6720647     93084  1106358   701881      987     7246   253010       15        0        0 
    3553  3406809     3787  3402498        0   809251     1882   199853     1349     6585   442436       11     6726084     87010  1112167   703510     1134     6943   183345        4        0        0 
    3553  3407238     5850  3400410        0   809264     1884   192555     1707     8154   444695       26     6726069     87429  1112990   702847     4485     5325   170567       13        0        0 
    4004  3406541     4003  3401807        0   809241        2   204762     1353     6562   362666     1904     6729485     82866  1114949   703683      695     2913   189399        7        0        0 
    3560  3405057     3724  3400715        0   809215        1   205989     1619     7001   425960       19     6731590     77905  1120061   707108     1806     6916   187756       11        0        0 
    4066  3404758     4138  3399669        0   809204        0   208468     1331     6689   543845       11     6733032     75533  1121499   707672     1096     2536   192672        3        0        0 
    4035  3404939     3671  3400557        0   809205        0   180997     1530     7463   548105       19     6731404     77763  1119871   707197     2223      600   162392       13        0        0 
    3528  3404872     4025  3400106        0   809198        0   299239     1484     6821   987016       13     6732454     76549  1120843   707608     1288     2273   281934        4        0        0 
    4036  3404989     4300  3400072        0   809192     8354   265477     1471    23218   625656       11     6720644     88717  1118773   707113     3960     1978   245028       13        0        0 
    4009  3404226     3489  3400340        0   809170     3234   307457     1489     6899   750089       19     6725375     82680  1119683   708064     2419     3323   287107       61        0        0 
