Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7625506    63707    20153   103607        0   197036    13111  951404K 12687026  142709K 2770497K  8356963       36993    150474  1076178   319952  101368K  109378K  800117K    63539   114023   567377 
 6925800   169101    25095   160023        0   731002    15191   192961     5488   172060        0        0       51184    303035  1074300   318919     1878        0   549830        0        0        0 
 5743297   679812    70213   608977        0   901218    30767   971314     3022   253003        0      384     1009096    349923  1072971   318397     1329        0   963639        0        0        0 
 4087372  1471496    31097  1439975        0   978965     5586  1678186     1544    81120        4        0     2600593    341974  1061788   313366    11177        0  1591397        0        0        0 
 2524717  2259715    30498  2230215        0   972995     4628  1581518     1659    45037        0      216     4152997    367431  1059016   311985     2716        0  1544339        0        0        0 
 1057823  2999983    45146  2954635        0   954084    13289  1492167     1361    34470        0        0     5635857    363907  1057023   310585     1987        0  1490274        0        0        0 
    4000  3494489     3622  3490395        0   995625     4582  1413641     1741    41192   213427      296     6805978    182528  1170927   341458    32906   147588  1361295       57        0        0 
    4001  2526649      214  2531524        0  2914750    14132   163859     1348    17743  1540426     4227     4782914    275473  1240571   352665    16746    87250   548356       12        0        0 
    5015  2524341      477  2562715        0  2884510        0    21357     1620     6977  3178161    29482     4835117    252416  1250279   352262     1328    11697   399692       12        0        0 
    3514  2495234      529  2494060        0  2949048        0    50596     1353    64105  2901224       55     4906749     83074  1409864   386783    28784   190351   323188        3        0        0 
    3404  2501630      160  2500710        0  2931417     7571    29514      261    12956  3881020     1108     4911522     90978  1417308   391812    13627    21411   304143       15        0        0 
    4115  2397239     4173  2614751        0  2940736     9712   117552     1802    33094  3481734     7289     4882623    133540  1375902   368477    46859     7014   210409        2        0        0 
   11080  3352679    83087  3280210        0  1223473    28674   198358     1942   171502  3849656      185     6570500    145476  1319822   379881   212747   159070   243492       16        0        0 
    3445  3238013     2472  3236881        0  1460772    33185    61596     1355    56211  1100950       19     6311173    166193  1300905   380357    41841    25335   452513       57        0        0 
    3713  3245685    26485  3219022        0  1439945    23876    46015     1616    37019  1127668    11376     6350957    140235  1320881   387775    26683    52192   842338        4        0        0 
    6044  3345531   106264  3238378        0  1246603     1155   153965     1444    58576   899715       22     6523904    166269  1304203   387319   117285   103311   506817        1        0        0 
    4739  3367610   130565  3192517        0  1250311     1114    91409     1970    28104   884312       19     6508445    182247  1292193   383868    91336    80246   571305       11        0        0 
    3960  3328109   162764  3164086        0  1290037     1142    72811     1817    21642   665207       29     6503965    150994  1283845   381277   123119   116218   570015       10       24        0 
    4067  3346910   213292  3150033        0  1222339    37253    47158     1936    19827   884490     1116     6522210    188025  1293780   385413    94725   108372   907870       16       20        0 
    5430  3335811   221438  3147927        0  1220775     5152   137946     1349    22137  1123652    11154     6567829    137347  1310823   398539    74217    96714  1105989        7        0        0 
    4023  3342183   107197  3234385        0  1217835        0    53244     1329    16887  1103024     5174     6576082    107683  1333941   416388    31450    57976   999506       46        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4080  3345014      306  3342820        0  1220389        6  960022K 12724604  143920K 2798235K  8429132     6578005    110135  1329189   417648  102363K  110661K  816374K    63816   114067   567377 
    3433  3075528    11803  3084169        0  1682161       16  2181892     1576     8431   290913       27     6092933     78566  1347520   472150   113639   131999  1180674        3        0        0 
    4066  2388736     1047  2409167        0  2921945    13332    41282     1715    41418  1228505       19     4639391    159559  1474507   605081    20681   147856   635340       19        4        0 
    3358  2365369      523  2365703        0  2920971        0    35924     1463     7586  2793937    13353     4676456     55139  1561624   673776     8613    98781   590879        9        0        0 
    3790  2370632     5588  2364014        0  2921040       61    65703     1924     9316  2903077       25     4660788     79446  1539051   664636    21418       49   493065       16        0        0 
    4004  2344628      364  2352962        0  2956856        8    31757     1328    38969  2467018       71     4634122     63832  1547257   671306    13112    23289   429628       24        0        0 
    4005  2362572     1031  2369731        0  2921653      520    30439     1628     7746  2637524    12817     4658685     74649  1544002   670300     6118     2962   425017        7        0        0 
    3326  2353456      848  2380391        0  2920164        0    28286     1328     6757  2588997      538     4663650     71045  1547324   671520     5805     9895   369132        2        0        0 
