Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7556804    60204    16806   109692        0   255562     1107 1093750K 14039145  162799K 4302294K  9994593       33356    153346  1064221   330724  118957K  131850K 1109095K    83001   126935   567805 
 6843706   186434    25254   161741        0   782146    14958   206460     6715   176916        0      376       53007    320422  1062917   330151     1297        0   553731        0        0        0 
 5652398   720524    32576   687093        0   899981    59285  1038617     3062   250709        1        0     1035755    404438  1061862   329712     1042        0   988608        0        0        0 
 4054603  1488142    30500  1460160        0   967609    10121  1603343     1348    69649        4        0     2614176    364626  1060560   329158     1302        0  1570228        0        0        0 
 2502427  2272348    41022  2242878        0   935824    13619  1561019     1830    27507        0      216     4163232    393016  1059673   328777      878        0  1555863        0        0        0 
 1005315  3007861    30762  2981837        0   975707      759  1517090       42    54658        0      192     5663651    356809  1059354   328632      307        0  1493478        0        0        0 
    3553  3486674     3892  3482233        0   986575    11716  1380627     1745    23220   235196     1850     6795907    176892  1189570   366074    37099   167421  1356423       90        0        0 
    3296  2499675     1030  2501367        0  2953520     3877   167856     1442    36587  1498412     7691     4741737    260335  1244618   370048    24275    80628   577680        5        0        0 
    4320  2499889      380  2530647        0  2924500    22313    25807     1643    30807  3094542     4978     4771891    259025  1265158   369827     5170    26881   379177        8       44        0 
    4064  2497792     2120  2502904        0  2924269     3087    40577     1352    38777  3182876    31660     4905136     97680  1405349   398327    16297   161351   342914        3        0        0 
    3836  2515727     1290  2529708        0  2884732       16    38610     1819     7888  3631943    18470     4931416    115309  1394211   394081    10089       85   228237       29        0        0 
    3518  2500660      176  2523796        0  2885636        0    25900     1350     7037  3321237     2066     4955240     69392  1435802   416084     5003    47244   201628        4        0        0 
    7198  3339551    88815  3262767        0  1222860        0   227444     1598   165982  3529938       21     6603668     87465  1346115   408725   235965   147738   215660        3        0        0 
    3882  3342865   110373  3241065        0  1221343      695    43707     1349    17124  1100746       23     6601697     92606  1341315   410367    20933    16373   469407       62        0        0 
