1781633911 PHYSMEM PhysMem: 4325M used (2408M wired, 950M compressor), 123G unused.
1781633916 PHYSMEM PhysMem: 6923M used (2165M wired, 950M compressor), 120G unused.
1781633922 PHYSMEM PhysMem: 45G used (22G wired, 950M compressor), 83G unused.
1781633927 PHYSMEM PhysMem: 79G used (38G wired, 950M compressor), 49G unused.
1781633932 PHYSMEM PhysMem: 96G used (38G wired, 950M compressor), 31G unused.
1781633937 PHYSMEM PhysMem: 105G used (44G wired, 950M compressor), 22G unused.
1781633942 PHYSMEM PhysMem: 106G used (44G wired, 950M compressor), 21G unused.
1781633947 PHYSMEM PhysMem: 110G used (41G wired, 950M compressor), 17G unused.
1781633952 PHYSMEM PhysMem: 116G used (41G wired, 950M compressor), 11G unused.
1781633957 PHYSMEM PhysMem: 122G used (41G wired, 950M compressor), 4856M unused.
1781633962 PHYSMEM PhysMem: 123G used (41G wired, 950M compressor), 4054M unused.
1781633967 PHYSMEM PhysMem: 123G used (41G wired, 950M compressor), 4049M unused.
1781633973 PHYSMEM PhysMem: 123G used (41G wired, 950M compressor), 4023M unused.
1781633978 PHYSMEM PhysMem: 123G used (42G wired, 950M compressor), 4035M unused.
1781633983 PHYSMEM PhysMem: 123G used (41G wired, 950M compressor), 4032M unused.
1781633988 PHYSMEM PhysMem: 123G used (48G wired, 950M compressor), 4021M unused.
1781633993 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 4027M unused.
1781633998 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 4008M unused.
1781634003 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 3814M unused.
1781634008 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 3942M unused.
1781634013 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 4018M unused.
1781634018 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 4003M unused.
1781634024 PHYSMEM PhysMem: 123G used (44G wired, 950M compressor), 4012M unused.
1781634029 PHYSMEM PhysMem: 123G used (44G wired, 942M compressor), 3897M unused.
1781634034 PHYSMEM PhysMem: 124G used (44G wired, 914M compressor), 3396M unused.
1781634039 PHYSMEM PhysMem: 124G used (44G wired, 913M compressor), 3381M unused.
1781634044 PHYSMEM PhysMem: 124G used (44G wired, 896M compressor), 3237M unused.
1781634049 PHYSMEM PhysMem: 124G used (44G wired, 894M compressor), 3202M unused.
1781634054 PHYSMEM PhysMem: 124G used (44G wired, 893M compressor), 3206M unused.
1781634059 PHYSMEM PhysMem: 124G used (44G wired, 892M compressor), 3143M unused.
1781634064 PHYSMEM PhysMem: 124G used (44G wired, 891M compressor), 2977M unused.
1781634070 PHYSMEM PhysMem: 124G used (44G wired, 891M compressor), 3104M unused.
1781634075 PHYSMEM PhysMem: 124G used (44G wired, 891M compressor), 3187M unused.
1781634080 PHYSMEM PhysMem: 124G used (44G wired, 891M compressor), 3196M unused.
1781634085 PHYSMEM PhysMem: 124G used (44G wired, 890M compressor), 3200M unused.
1781634090 PHYSMEM PhysMem: 124G used (44G wired, 885M compressor), 3146M unused.
1781634095 PHYSMEM PhysMem: 124G used (44G wired, 885M compressor), 3145M unused.
1781634100 PHYSMEM PhysMem: 124G used (44G wired, 885M compressor), 3012M unused.
1781634105 PHYSMEM PhysMem: 124G used (34G wired, 885M compressor), 3398M unused.
1781634110 PHYSMEM PhysMem: 124G used (34G wired, 884M compressor), 3577M unused.
1781634116 PHYSMEM PhysMem: 124G used (34G wired, 884M compressor), 3675M unused.
1781634121 PHYSMEM PhysMem: 124G used (34G wired, 884M compressor), 3412M unused.
1781634126 PHYSMEM PhysMem: 124G used (34G wired, 883M compressor), 3572M unused.
1781634131 PHYSMEM PhysMem: 124G used (34G wired, 883M compressor), 3639M unused.
