Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 8042120    32356    12800    27596        0   154108     1625 73872765  2085537 65023940 1093615K   416649       20927     51825   193670    60821  1967898  3901489  308477K     2921       84      220 
 7868683   124192    21989   100301        0   154146     2865   179842     2629   159781        0        0       45102    201380   193660    60817       10        0    20343        0        0        0 
 5436505   174796    23245  1192548        0  1441878     9182   967973     3572  1314236        0        0     1163666    226923   193655    60815        5        0  1105525        0        0        0 
 3226274   195354    24317  2337551        0  2485946     4466  1014082      575  1071787        0        0     2311000    246222   193652    60814        3        0  1118835        0        0        0 
 2073698   218356    24845  3463010        0  2489422     1798   156224     1006    30537        0      192     3438016    268195   193652    60814        0        0  1099001        0        0        0 
 1446231   332891    27014  3599082        0  2863593     1800     8070      568    14421        0        0     3557863    401124   193651    60813        1        0   637754        0        0        0 
 1321572   320544    28560  3717833        0  2880592     1448    11156     1168    21428        0        0     3696675    370262   193647    60811        4        0   137895        0        0        0 
 1114209   155562    30637  4308129        0  2660293     8563    16403      608    73782        0        2     4303535    190793   193647    60811        0        0   152043        0        0        0 
  762707   136270    30831  4680048        0  2659416     4463    21728      828    17033        0      192     4692880    154269   193638    60806        9        0   296489        0        0        0 
  360867   132564    30698  5085654        0  2659260     1830    19269      567    16790        0      224     5100661    148255   193638    60806        0        0   309827        0        0        0 
  226597   132679    30677  5216864        0  2662126     1830    23873      827    22517        0        0     5231920    148300   193637    60806        1        0    97835        0        0        0 
  226453   134886    30781  5266091        0  2610797     1830    20059      559    17304        4        0     5281332    150426   193637    60806        0        0      163        0        0        0 
  229203   132771    30796  5215074        0  2661775     1830    19138      825    15408        0        0     5230341    148300   193637    60806        0        0       30        0        0        0 
  227561   134900    30792  5273709        0  2602463     1818    18546      570    15457        0        0     5288981    150416   193637    60806        0        0       13        0        0        0 
  227917   131277    30791  5215071        0  2664053     1818    12553      693     9682        0        0     5230351    146788   193627    60802       10        0        6        0        0        0 
  216247   116713    41189  5117366        0  2777639     1818    18462      689     8877        0        0     5143050    132218   193625    60801        2        0        6        0        0        0 
  216752   315055    41192  4799596        0  2897136     2580     5819      703     2753        0        0     4825288    330555   193623    60801        2        0       10        0        0        0 
  215777   315110    41199  4799593        0  2897109     2580     5807      684     2123        4        0     4825295    330607   193623    60801        0        0        6        0        0        0 
  198567   315092    41284  4799615        0  2914265     2229     4817      558    19613        0        0     4825454    330537   193619    60802        4        0      117        0        4        0 
  208785   322395    41293  4799611        0  2897092     9329     6699      817     2374        0       15     4825467    337832   193610    60800        1        0       15        0        0        0 
  213226   318156    41336  4799610        0  2897105     5229     4540      559     2082        0      192     4825550    333552   193609    60800        1        0       64        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
  215633   315401    41329  4799606        0  2897096     2586 76415255  2105387 67864260 1093615K   417658     4825555    330781   193571    60796  1967989  3901489  313453K     2921       92      220 
  215285   315400    41353  4799562        0  2897092     2586     4448      555     2050        0        0     4825597    330718   193567    60794        4        0       37        0        0        0 
  209876   318738    44032  4799670        0  2897176     2595    13107      835     2939        2        0     4829808    332632   192132    60466     1427        0     3052        0        0        0 
  189339   330268    51595  4801458        0  2897403     2620    26057     1456     8287        0        0     4843954    339367   190680    60100     1452        0    11061        0        4        0 
  157154   352220    59584  4804612        0  2897596     2687    55336     2247    10486        0        0     4862474    353942   182858    58431     7809        0    14424        0        4        0 
  156589   352229    60089  4804691        0  2897635     2687     5475      556     2136        0        0     4863359    353650   182750    58386      106        0      698        0        0        0 
  142872   361121    64331  4805687        0  2897715     2901    24268     1007     4744        0        2     4872098    359041   179347    57322     3394        0     6527        0        0        0 
  140432   362804    65656  4806149        0  2897861     2915    21427     1813     4925        0       35     4874978    359631   178881    57240      466        0     2345        0       28        0 
  136521   365547    66381  4806661        0  2898029     2987    23041     1957     5496        4        0     4876705    361884   178304    57140      577        0     1452        0        0        0 
  117448   365654    66734  4806654        0  2915775     2430     8011      670    20820        0        2     4877332    361710   178141    57074      163        0      494        0        0        0 
  128599   372176    66823  4806669        0  2897821     9721    10761      915     4377        0       17     4876571    369097   178032    57046      109        0      177        0        0        0 
  134922   366364    66828  4806670        0  2897717     5597     5459      712     2333        0      384     4876513    363349   178027    57044        5        0       16        0        0        0 
  137515   363669    66824  4806672        0  2897597     2989     6359      693     2506        0        2     4876507    360658   178026    57044        1        0        6        0        0        0 
  138621   363639    66829  4806672        0  2897643     2989     5411      711     2278        0        0     4876512    360628   178026    57044        0        0        6        0        0        0 
  138100   363934    66831  4806675        0  2897657     2989     6284      684     2180        3        0     4876515    360925   177765    56942      253        0        7        0        0        0 
  134598   367018    67344  4806847        0  2897769     2994    14061     1317     4614        0        0     4877628    363581   177032    56659      733        0      850        0        0        0 
  118050   366125    67494  4806845        0  2914399     2821     6176      694    18591        0        0     4877841    362623   176939    56627       93        0       79        0        0        0 
  137864   358784    67525  4793645        0  2914892     2817     6631      840    12350        2        0     4877748    342206   176929    56626       10        0       46        0        0        0 
  152832   483516    67558  5330841        0  2238183    14921    10941     1410     3914        0       17     5415003    466912   176802    56609      127        0       54        0        8        0 
  163372   474373    67557  5330833        0  2237098     6621     5526      694     2280        0        0     5414998    457765   176798    56607        4        0        6        0        0        0 
  168298   469369    67555  5330839        0  2237069     3036     5803      685     2115        3      192     5414998    452765   176797    56607        1        0        7        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
  150825   469751    67742  5330838        0  2253987     2937 76685330  2126395 68003268 1093615K   418324     5415364    452967   176590    56541  1984930  3901489  313495K     2921      136      220 
  162883   473756    67735  5330839        0  2238013     7227     6483      820     2531        0        0     5415366    456964   176553    56530       37        0        8        0        0        0 
