Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7267380   281554    15133   264657        0   226551    32300  187283K  7072004  163554K 1444365K  1561660       28390    532954   533753   274982 11615606 16869487  825897K     9588      460      488 
 6235582   343862    24885   348927        0  1101230    29939   194412     6292   173947        0      184       50668    667006   533744   274977        9        0   907191        0        0        0 
 5350406   361545    27576   359101        0  1956484    40668    33539     4042     9548        2        0       55317    692905   533741   274975        3        0   918748        0        0        0 
 4405170   359677    29093   351343        0  2909762    29764    23418     2392    17071        0      360       57683    682430   533741   274975        0        0   955296        0        0        0 
 3433825   359538    31416   350886        0  3879158    23812    32384     2722    19039        2      576       62934    678906   533733   274973        4        0   974041        0        0        0 
 2475399   349271    32931   332910        0  4864212    29931    27681     2544    19886        1      384       66588    648524   533733   274973        0        0   987946        0        0        0 
 1924965   498476    33450  5445734        0   152465    30986    25409     2620    20110        0        0     5359954    617706   533733   274973        0        0   580875        0        0        0 
 1604492   356403    36517   318361        0  5739329    53942    51604     2468   371708        0        0       86444    624837   533731   274973        2        0    10256        0        0        0 
 1555885   518534    41962   343451        0  5595167    35114    53784     3003   103924        0        0       88541    815405   533723   274968        5        0     6237        0        0        0 
 1517874   371353    45440   325093        0  5794923    35665    53590     2428    84169        0        0      101086    640802   533719   274964        4        0     2181        0        0        0 
 1511756   376140    46779   333557        0  5786347    53704    54772     2303    69618       28      792      104003    652473   533718   274964        1        0     2370        0        0        0 
 1494329   333599    46950   320347        0  5859769    12037    49196     2006    66666        0      192       97310    603586   533714   274963        4        0      989        0        0        0 
 1515657   356058    47113   324431        0  5811958    24560    39979     2410    44646        0        0      105543    622059   533711   274963        3        0      339        0        0        0 
 1513015   351714    47535   322905        0  5819769    17936    43474     2066    47120        0      226      106317    615837   533648   274927       63        0      604        0        0        0 
 1517184   338186    47547   323031        0  5829774    16125    45045     2819    42070        0        0       98537    610227   533614   274911       34        0       33        0        0        0 
 1541750   381363    47531   340726        0  5744047    52515    36117     2441    21605        0        0      106492    663128   533420   274736      194        0      112        0        0        0 
 1527938   380014    47525   335245        0  5764821    49457    34346     2411    54757       74        0      106510    656274   532921   274298      499        0       18        0        0        0 
 1503820   526596    58038   330306        0  5636762    21413    36957     2158    43836        2        0      109267    805673   532741   274142      180        0      136        0        0        0 
 1508067   466214    58163   412322        0  5611441    40139    29353     2335    18510        0        0      109445    827254   532729   274131       12        0      140        0        0        0 
 1544464   459146    58167   423915        0  5570107    39760    23995     2157     9300        0      384      109453    831775   532725   274125        4        0       15        0        0        0 
 1560828   443451    58104   423325        0  5570106    23888    20408     1911     7501        0      528      109626    815254   532725   274125        0        0      179        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1561304   443541    58115   422938        0  5570082    23888  188215K  7127702  164807K 1444365K  1565670      109705    814889   532725   274125 11616627 16869487  831244K     9588      460      488 
 1561121   443743    58110   422938        0  5570103    23888    18336     1556     6896       22        0      109704    815087   532724   274125        1        0        2        0        0        0 
 1560788   443608    58134   422937        0  5570096    23888    21444     1948     6965        0        0      109742    814937   532719   274123        5        0       33        0        0        0 
 1547063   438512    58150   415736        0  5596574    20114    20193     1885    21687        0        0      109803    802595   532718   274123        1        0       53        0        0        0 
 1556127   457706    58148   415732        0  5568228    26228    22394     2295     7702        0       15      109805    821781   532718   274123        0        0       10        0        0        0 
 1561627   452846    58171   415051        0  5568208    22138    20307     1921     7467        0      768      109834    816234   532718   274123        0        0       12        0        0        0 
 1561577   452904    58190   415051        0  5568209    22138    22196     2161     7655        0        0      109861    816284   532716   274121        2        0       27        0        0        0 
 1561762   452885    58190   415042        0  5568202    22138    20254     1918     7469       18        0      109862    816255   532716   274121        0        0        6        0        0        0 
 1552865   460052    58190   415023        0  5570057    30334    21295     2034    21794        0        0      109864    823401   532716   274121        0        0        9        0        0        0 
 1557163   455239    58227   415022        0  5570047    25214    20959     2036     7422        0        0      110126    818362   532715   274121        1        0      257        0        0        0 
 1559838   452148    59027   415082        0  5570041    22142    23482     2153     8116        0      768      111251    815006   532714   274121        1        0      818        0        0        0 
 1559153   452052    59024   415084        0  5570078    22142    20538     2033     7386        0        0      111263    814897   532712   274119        2        0       16        0        0        0 
 1559758   452110    59013   415086        0  5570074    22142    21859     2047     7727        0        0      111271    814938   532712   274119        0        0       14        0        0        0 
 1558805   452892    59024   415085        0  5570095    22142    29863     2156    13430       17        0      111291    815710   532709   274119        3        0       22        0        0        0 
 1558593   452948    59024   415084        0  5570098    22142    21298     2009     7477        0        0      111291    815765   532707   274119        2        0        6        0        0        0 
 1558629   453014    59063   415045        0  5570085    22142    21212     2263     7655        0        0      111340    815782   532692   274116       15        0       13        0        0        0 
 1544824   445568    59119   414776        0  5591843    20113    21875     2034    21784        0        0      111551    807912   532687   274112        5        0      171        0        0        0 
 1489454   571543    59300   290890        0  5644805    28802    23996     2071    84374        0        0      111959    809774   532680   274107        7        0      313        0        0        0 
 1534436   831074    59318  5443347        0   187761    49726    23931     2177    32110        2        0     5404479    929260   532676   274106        4        0       22        0        0        0 
 1511185   817533    67818  5434548        0   225129    30234    44930     2674    53467       62        0     5417654    902245   532598   274055       78        0    10102        0        0        0 
 1529748   827497    67897  5434517        0   195980    36547    28537     2156    11933        0        0     5417905    912006   532503   274008       95        0      236        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1531680   811715    67912  5434428        0   210316    22211  188716K  7171212  165181K 1444365K  1567813     5417937    896118   532464   273991 11616888 16869487  831257K     9588      460      488 
 1528410   862786    67983  5434280        0   162239    62790    23633     2030    50989        0        0     5418112    946937   532430   273965       34        0      110        0        0        0 
 1535979   837359    68011  5434306        0   180497    47272    22345     1792    33860        0        0     5418459    921217   532336   273897       94        0      334        0        0        0 
