Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7602955    20765     9683   533901        0   162622    23394 43789823  1157029 35218761      799    74910       15493    548856        0        0        0        0  1452811        0        0        0 
 6878987   648260    23627   615593        0   163798    23690   731878     3437   165928        0        0       48829   1238651        0        0        0        0    27053        0        0        0 
 6161848   637127    24441   630571        0   875647    26866   468275     3705   288270        0      384       50919   1241220        0        0        0        0     1833        0        0        0 
 6157632   647019    24904   624574        0   875085    20062     6718      588    16524        0        0       52002   1244495        0        0        0        0      897        0        0        0 
 6142090   651332    25204   625778        0   885088    18014     7737      955    23651        1      384       52479   1249835        0        0        0        0      371        0        0        0 
 6161087   656238    25212   612095        0   875079    18014     4760      595    16444        0        0       52492   1241053        0        0        0        0       11        0        0        0 
 5911751   437376    27156   615327        0  1338568    18014    53772      887   282178        0        0       54574   1025285        0        0        0        0      182        0        0        0 
 4895695   700546    27142   670227        0  2036088    18024  1186933      635  1049405        0        2       54597   1343318        0        0        0        0       20        0        0        0 
 3879429   628770    27146   668527        0  3125567    18024   985494      836  1049491        0        0       54605   1269838        0        0        0        0       15        0        0        0 
 3095422   627375    27152   668113        0  3911304    18024   892058      535   787714        0        0       54605   1268035        0        0        0        0        5        0        0        0 
 2293405   625505    28841   664334        0  4718266    17865   835526      850   804659        0        0       56803   1261877        0        0        0        0     1481        0        0        0 
 1684166   638287    30058   665049        0  5312306    21293   617066      561   616103        0        0       60055   1273339        0        0        0        0     2528        0        0        0 
 1246774   666128    32141   638879        0  5745709    26298   401600      858   450012        0        0       62184   1274964        0        0        0        0       75        0        0        0 
 1203621   579159    32146   651854        0  5862982    21177    20320      563    68958        0      384       62195   1200964        0        0        0        0        8        0        0        0 
 1212090   628074    32146   595878        0  5861441    18021    19216      823    15243        0      392       62195   1193903        0        0        0        0        7        0        0        0 
 1211798   628271    32156   595695        0  5862212    18015    19795      559    17047        0        0       62238   1193884        0        0        0        0       38        0        0        0 
 1212073   628367    32154   595627        0  5861418    18021    15260      693    12262        2        0       62239   1193909        0        0        0        0       11        0        0        0 
 1211910   614118    32154   595839        0  5875470    18021    20980      687    17237        0        0       62240   1179871        0        0        0        0        6        0        0        0 
 1211840   639060    32221   595907        0  5850599    18021    15105      699    12121        0        0       62426   1204762        0        0        0        0      164        0        0        0 
 1211119   614202    32246   595943        0  5875453    18021    20821      685    17209        0       15       62465   1179926        0        0        0        0       35        0        0        0 
 1211273   628237    32254   595962        0  5861402    18021    14168      560    11893        0        0       62473   1193980        0        0        0        0        5        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
