Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 7745189    13680    12179   400330        0   158434    14613 43629482  1192855 35191920      914    67791       19981    406208        0        0        0        0  1329602        0        0        0 
 7025917   644385    22516   471434        0   165692    15853   725561     2660   160677        0        0       46453   1091882        0        0        0        0    21773        0        0        0 
 6309439   687054    23384   655827        0   654400    22170   468540     3727   284788        0        0       48607   1317658        0        0        0        0     1759        0        0        0 
 6290909   693077    25947   665244        0   654557    17454    18585     1445    19463        0        0       54564   1329704        0        0        0        0     4595        0        0        0 
 6268277   691868    26073   688946        0   654699    25112     9198      881    35102        0      192       55109   1351778        0        0        0        0      436        0        0        0 
 6290399   693372    26197   665565        0   654512    18456     5154      564    19995        0        0       55343   1329791        0        0        0        0      184        0        0        0 
 6041578   562195    28287   615034        0  1082438    14786    38313      890   285367        0      384       57605   1147911        0        0        0        0      294        0        0        0 
 5026432   644059    28299   604305        0  2026950    14796  1233984      582  1049272        0        2       57671   1218992        0        0        0        0       61        0        0        0 
 4010332   563657    28553   602223        0  3125763    14796  1002226      917  1049579        0        0       58088   1136345        0        0        0        0      316        0        0        0 
 3225228   562651    28828   602063        0  3911403    14796   878715      571   787847        0        0       58504   1135038        0        0        0        0      314        0        0        0 
 2437914   562457    29012   602029        0  4698379    14796   807866      868   787888        0        0       58770   1134728        0        0        0        0      202        0        0        0 
 1653554   559558    29574   602081        0  5484988    14796   637475      601   787939        0        0       59796   1131417        0        0        0        0      781        0        0        0 
 1438739   583637    33839   559947        0  5713711    14799   369879      845   210900        1        2       66417   1111006        0        0        0        0     3510        0        0        0 
 1410335   652133    33927   617209        0  5616599    14796    13152      552    42451        0        0       66545   1236724        0        0        0        0       93        0        0        0 
 1410007   656972    33984   622290        0  5606646    14793    14618      821    10736        4        0       66626   1246620        0        0        0        0       66        0        0        0 
 1395606   656489    34941   620936        0  5622262    14265    16558      703    28406        1        0       68738   1243628        0        0        0        0     1624        0        0        0 
 1405422   660835    34920   625139        0  5603844    21539    14833      825    10814        0        0       68741   1252153        0        0        0        0       10        0        0        0 
